Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
2221 Loma Colorado Blvd NE,,,,,No Info,"$20,000",Albuquerque
1325 Park Ave  SW #204,2 Beds,2 Baths,"1,020 sqft",Year Built: 1986,2 Car Garage,"$329,500",Albuquerque
6145 Kachina St NW,4 Beds,3 Baths,"3,034 sqft (on 0.26 acres)",Year Built: 1997,3 Car Garage,"$530,000",Albuquerque
The IPA Plan in Mesa Del Sol by Abrazo Homes,3 Beds,3 Baths,"2,380 sqft",Year Built: 2023,No Info,"$435,990+",Albuquerque
2149 Gazelle Rd   NE,,,,,No Info,"$75,000",Albuquerque
2105 New York Ave SW,2 Beds,1 Bath,710 sqft,Year Built: 1930,No Info,"$149,900",Albuquerque
3220 Cascades Trl SE,4 Beds,3 Baths,"2,786 sqft (on 0.25 acres)",Year Built: 1995,3 Car Garage,"$500,000",Albuquerque
724 Stagecoach Rd SE,2 Beds,3 Baths,"2,976 sqft (on 0.28 acres)",Year Built: 1976,2 Car Garage,"$450,000",Albuquerque
9309 Halyard Rd NW,3 Beds,2 Baths,"1,588 sqft",Year Built: 2000,2 Car Garage,"$298,500",Albuquerque
Preston Plan in Inspiration - Peak Series by Pulte Homes,4 Beds,3 Baths,"2,862 sqft",Year Built: 2023,No Info,"$505,990+",Albuquerque
Turquoise Plan in Lavender Fields by Amreston Homes,4 Beds,3 Baths,"2,580 sqft",Year Built: 2023,Garage,"$595,950+",Albuquerque
1713 Miracerros Pl NE,2 Beds,2 Baths,"1,548 sqft",Year Built: 1979,2 Car Garage,"$340,000",Albuquerque
Plan 3018 - The Stella in Los Diamantes by D.R. Horton - Albuquerque,4 Beds,3 Baths,"1,883 sqft",Year Built: 2023,No Info,"$380,990+",Albuquerque
7531 Eagle Rock Ave NE,4 Beds,3 Baths,"2,520 sqft",Year Built: 2019,3 Car Garage,"$770,000",Albuquerque
Sage Plan in Rainbow Canyon by Centex Homes,4 Beds,2 Baths,"1,896 sqft",Year Built: 2023,No Info,"$365,990+",Albuquerque
Rr Estates Unit 10 B 33 L 62 #10,,,,,No Info,"$55,000",Albuquerque
6520 Ruth Ave NE,2 Beds,2 Baths,"1,064 sqft",Year Built: 1977,5 Carport Spaces,"$225,000",Albuquerque
10403 LAGRANGE PARK DR NE,3 Beds,2 Baths,"1,373 sqft",,2 Car Garage,"$310,000",Albuquerque
524 Dorothy St NE,,,,,No Info,"$64,900",Albuquerque
2905 Kiva Vw NE,3 Beds,3 Baths,"2,988 sqft",,3 Car Garage,"$549,000",Albuquerque
11909 Fulmer Dr NE,3 Beds,2 Baths,"2,195 sqft",Year Built: 1979,2 Car Garage,"$357,000",Albuquerque
6300 Gambel Oak Ct NE,5 Beds,6 Baths,"6,751 sqft (on 1.33 acres)",Year Built: 2006,4 Car Garage,"$2,300,000",Albuquerque
1215/1217 Hideaway Ln   SE,,,,,No Info,"$280,000",Albuquerque
9000 Cambrils Dr,4 Beds,2 Baths,"2,225 sqft",Year Built: 2023,2 Car Garage,"$552,240",Albuquerque
224 Hermosa Dr SE,5 Beds,3 Baths,"3,538 sqft",Year Built: 1962,2 Car Garage,"$675,000",Albuquerque
Manzanita Plan in Inspiration - Peak Series by Pulte Homes,3 Beds,2 Baths,"1,997 sqft",Year Built: 2023,No Info,"$445,990+",Albuquerque
Taos Plan in Lavender Fields by Amreston Homes,3 Beds,3 Baths,"2,184 sqft",Year Built: 2023,Garage,"$529,950+",Albuquerque
Tifton Walk Plan in Mesa del Sol by Pulte Homes,3 Beds,2 Baths,"1,968 sqft",Year Built: 2023,No Info,"$383,990+",Albuquerque
2 Street NE,,,,,No Info,"$55,000",Albuquerque
10656 Aspiration Ln,3 Beds,2 Baths,"1,564 sqft",Year Built: 2022,2 Car Garage,"$324,900",Albuquerque
12100 Badger Mountain Trl  NW,3 Beds,2 Baths,"1,755 sqft",Year Built: 2023,2 Car Garage,"$425,000",Albuquerque
12004 Trail Ct   NW,3 Beds,3 Baths,"2,480 sqft",Year Built: 2023,2 Car Garage,"$490,000",Albuquerque
12012 Kachina Peak Trl  NW,3 Beds,2 Baths,"2,183 sqft",Year Built: 2023,3 Car Garage,"$560,000",Albuquerque
11800 N  Star Trl  NW,4 Beds,4 Baths,"2,728 sqft",Year Built: 2023,2 Car Garage,"$570,000",Albuquerque
12109 Echo Valley Ln   NW,4 Beds,3 Baths,"2,708 sqft",Year Built: 2023,2 Car Garage,"$545,641",Albuquerque
12115 Echo Valley Ln   NW,3 Beds,2 Baths,"1,755 sqft",Year Built: 2023,2 Car Garage,"$436,261",Albuquerque
10840 Caresso Loop,3 Beds,2 Baths,"1,289 sqft",,2 Car Garage,"$311,990",Albuquerque
7201 Johnny Lee Ln,5 Beds,3 Baths,"3,049 sqft (on 1 acre)",Year Built: 2023,3 Car Garage,"$799,900",Albuquerque
The Ixtapa Plan in Las Residencias by Abrazo Homes,3 Beds,2 Baths,"1,503 sqft",Year Built: 2023,No Info,"$352,970+",Albuquerque
Azure Plan in Lavender Fields by Amreston Homes,4 Beds,3 Baths,"2,084 sqft",Year Built: 2023,Garage,"$532,950+",Albuquerque
3339 Central Ave  NE #321,2 Beds,3 Baths,"1,651 sqft",Year Built: 2009,2 Car Garage,"$529,000",Albuquerque
1553 Dennison Rd SW,3 Beds,1 Bath,898 sqft,Year Built: 1946,No Info,"$136,500",Albuquerque
14112 Arcadia Rd NE,3 Beds,2 Baths,"2,626 sqft (on 0.40 acres)",Year Built: 1977,2 Car Garage,"$598,995",Albuquerque
12000 Badger Mountain Trl  NW,3 Beds,2 Baths,"1,567 sqft",Year Built: 2023,2 Car Garage,"$400,000",Albuquerque
8015 Agua Fria Ct NW,4 Beds,3 Baths,"2,669 sqft (on 0.37 acres)",Year Built: 2023,Garage,"$725,000",Albuquerque
12008 Echo Valley Ln   NW,4 Beds,3 Baths,"2,708 sqft",Year Built: 2023,2 Car Garage,"$500,000",Albuquerque
1201 Cortez Dr SW,5 Beds,3 Baths,"2,686 sqft",Year Built: 1960,1 Carport Spaces,"$300,000",Albuquerque
7300 Ottawa Rd NE,6 Beds,4 Baths,"3,079 sqft (on 0.25 acres)",Year Built: 1959,No Info,"$415,000",Albuquerque
8004 Creekwood Ave NW,4 Beds,4 Baths,"2,785 sqft",Year Built: 1996,2 Car Garage,"$385,000",Albuquerque
7112 Pan American Fwy NE #57,2 Beds,2 Baths,910 sqft,Year Built: 1976,No Info,"$24,900",Albuquerque
301 Grape Cir SE,,,,,No Info,"$1,200,000",Albuquerque
14120 Pajarito Rd   SW,,,,,No Info,"$18,500",Albuquerque
621 Niagara Ave NE,5 Beds,3 Baths,"3,105 sqft (on 0.58 acres)",Year Built: 1992,3 Car Garage,"$575,000",Albuquerque
10412 Royal Birkdale NE,4 Beds,3 Baths,"4,433 sqft",Year Built: 1995,3 Car Garage,"$960,000",Albuquerque
Patagonia Plan in Inspiration - Peak Series by Pulte Homes,3 Beds,3 Baths,"3,139 sqft",Year Built: 2023,No Info,"$577,990+",Albuquerque
Fifth Avenue Plan in Inspiration - Apex Series by Pulte Homes,3 Beds,3 Baths,"2,383 sqft",Year Built: 2023,No Info,"$424,990+",Albuquerque
The Zaha Plan in Ascension by Abrazo Homes,3 Beds,3 Baths,"2,847 sqft",Year Built: 2023,No Info,"$763,500+",Albuquerque
920A Pacific Ave  SW,2 Beds,2 Baths,995 sqft,Year Built: 2023,No Info,"$295,000",Albuquerque
8317 Fairmont Dr NW,3 Beds,2 Baths,"1,750 sqft",Year Built: 1991,2 Car Garage,"$370,000",Albuquerque
405 Ridge Pl   NE,3 Beds,2 Baths,"1,621 sqft",Year Built: 2002,1 Car Garage,"$415,000",Albuquerque
9808 Inniskillin Ave SW,5 Beds,4 Baths,"2,923 sqft",Year Built: 2006,3 Car Garage,"$370,000",Albuquerque
402 Hudson Ave NW,2 Beds,1 Bath,"1,016 sqft",Year Built: 1951,1 Carport Spaces,"$145,000",Albuquerque
6035 Ursa Ave NW,3 Beds,2 Baths,"1,485 sqft",,2 Car Garage,"$319,000",Albuquerque
1720 Avenida Real NW,3 Beds,3 Baths,"1,764 sqft",Year Built: 2005,2 Car Garage,"$297,500",Albuquerque
22 Rainbow Blvd NE,,,,,No Info,"$35,000",Albuquerque
234 Texas St NE,1 Bed,1 Bath,"1,080 sqft",Year Built: 1946,2 Parking Spaces,"$180,000",Albuquerque
3508 Saint Andrews Dr SE,4 Beds,5 Baths,"4,926 sqft (on 0.34 acres)",Year Built: 1976,2 Car Garage,"$725,000",Albuquerque
1226 Goff Blvd SW,6 Beds,4 Baths,,Year Built: 1956,No Info,"$599,000",Albuquerque
2907 Sierra Dr NE,3 Beds,2 Baths,"1,633 sqft",Year Built: 1950,1 Car Garage,"$365,000",Albuquerque
