Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
12485 Via Cabezon,4 Beds,3 Baths,"1,958 sqft",Year Built: 1974,2 Car Garage,"$1,299,999",San Diego
4271 45th St #4,2 Beds,2 Baths,768 sqft,Year Built: 1998,Garage,"$459,000",San Diego
4050 Rosenda Ct #238,2 Beds,2 Baths,"1,086 sqft",Year Built: 1986,Garage,"$725,000",San Diego
2794 Luna Ave,4 Beds,2 Baths,"1,447 sqft",Year Built: 1956,2 Car Garage,"$1,110,000",San Diego
5212 Beachfront Cove St   #36,4 Beds,4 Baths,"1,875 sqft",Year Built: 2021,2 Car Garage,"$679,000",San Diego
8688 New Salem St #181,2 Beds,2 Baths,831 sqft,Year Built: 1992,Garage,"$599,900",San Diego
6118 Alderley St,4 Beds,2 Baths,"1,424 sqft",Year Built: 1962,2 Car Garage,"$749,999",San Diego
6740 University Ave,1 Bed,1 Bath,535 sqft,Year Built: 1981,Garage,"$359,900",San Diego
11024 Logan Way,4 Beds,4 Baths,"2,186 sqft",Year Built: 2020,2 Car Garage,"$1,150,000",San Diego
555 Front St #205,2 Beds,2 Baths,"1,234 sqft",Year Built: 2002,Garage,"$925,000",San Diego
2224 Imogene Ave,3 Beds,1 Bath,935 sqft,Year Built: 1959,2 Car Garage,"$599,000",San Diego
12275 Casero Ct,2 Beds,2 Baths,"1,450 sqft",Year Built: 1969,2 Car Garage,"$749,000",San Diego
5551 Warbler Way,4 Beds,5 Baths,"4,475 sqft (on 1.07 acres)",Year Built: 2001,Garage,"$5,850,000",San Diego
9249 Village Glen Dr #205,2 Beds,1 Bath,912 sqft,Year Built: 1980,1 Carport Spaces,"$515,000",San Diego
1804 Mission Cliff Dr,2 Beds,1 Bath,"1,039 sqft",Year Built: 1947,1 Car Garage,"$1,050,000",San Diego
1621 Hotel Cir S  #E131,2 Beds,2 Baths,950 sqft,Year Built: 1972,1 Parking Spaces,"$510,000",San Diego
4262 Wilson Ave #6,1 Bed,1 Bath,540 sqft,Year Built: 1983,Garage,"$399,000",San Diego
2491 Red Pine Dr,3 Beds,2 Baths,"1,498 sqft",Year Built: 1983,2 Car Garage,"$779,900",San Diego
1199 Pacific Hwy #2605,3 Beds,2 Baths,"1,447 sqft",Year Built: 2004,Garage,"$1,599,000",San Diego
1229 Hollister St,,,,,No Info,"$900,000",San Diego
2408-10 1st Ave,4 Beds,4 Baths,"7,710 sqft (on 0.33 acres)",Year Built: 1889,10 Open Spaces,"$6,485,000",San Diego
16164 Mesto Dr,2 Beds,2 Baths,"1,772 sqft",Year Built: 1970,2 Car Garage,"$875,000",San Diego
11948 Black Mountain Rd #28,3 Beds,3 Baths,"1,510 sqft",Year Built: 1992,2 Car Garage,"$875,000",San Diego
11124 Poblado Rd,2 Beds,2 Baths,"1,116 sqft",Year Built: 1971,Garage,"$649,000",San Diego
2750 Wheatstone St #184,3 Beds,2 Baths,"1,172 sqft",Year Built: 2018,Carport,"$297,500",San Diego
3535 Jackdaw St,4 Beds,2 Baths,"2,215 sqft",Year Built: 1913,Garage,"$1,795,000",San Diego
4209 Moraga Ave,4 Beds,3 Baths,"2,334 sqft",Year Built: 2005,2 Car Garage,"$1,488,800",San Diego
2054-2054 N  Highland Ave  #2058,3 Beds,3 Baths,"1,675 sqft",Year Built: 2023,No Info,"$1,249,900",San Diego
3620 Park Blvd #8,1 Bed,1 Bath,525 sqft,Year Built: 1939,Garage,"$449,900",San Diego
2036-2036 N  Highland Ave  #2040,6 Beds,21 Baths,"2,601 sqft",Year Built: 2023,Garage,"$1,499,900",San Diego
17897 Creciente Way,3 Beds,2 Baths,"1,808 sqft",Year Built: 1986,2 Car Garage,"$1,200,000",San Diego
3548 Alabama St,4 Beds,4 Baths,"2,809 sqft (on 0.26 acres)",Year Built: 1933,1 Car Garage,"$1,949,000",San Diego
2855 Union St,4 Beds,3 Baths,"2,078 sqft",Year Built: 1977,2 Car Garage,"$1,995,000",San Diego
11957 Meriden Ln,3 Beds,3 Baths,"1,485 sqft",Year Built: 1994,Garage,"$1,099,999",San Diego
4015 Idaho St   #0,,,,,No Info,"$2,250,000",San Diego
12781 Adolphia Ct,5 Beds,3 Baths,"2,506 sqft",Year Built: 1989,2 Car Garage,"$1,490,000",San Diego
8451 Via Mallorca #33,2 Beds,3 Baths,"1,074 sqft",Year Built: 1977,2 Car Garage,"$825,000",San Diego
7761 Road To Zanzibar,5 Beds,6 Baths,"6,138 sqft (on 0.99 acres)",Year Built: 2014,4 Car Garage,"$5,995,000",San Diego
3905 Arroyo Sorrento Rd,4 Beds,5 Baths,"4,654 sqft (on 1 acre)",Year Built: 1995,3 Car Garage,"$3,199,000",San Diego
12951 Longboat Way,4 Beds,3 Baths,"2,256 sqft",Year Built: 1972,2 Car Garage,"$2,595,000",San Diego
Plan 5 in Atwood at 3Roots by Shea Homes-Family,2 Beds,3 Baths,"1,669 sqft",Year Built: 2023,No Info,"$930,000+",San Diego
3057 Walton Pl,3 Beds,2 Baths,800 sqft,Year Built: 2015,Garage,"$849,000",San Diego
4966 Waring Rd #C,2 Beds,3 Baths,"1,296 sqft (on 6.02 acres)",Year Built: 1982,2 Car Garage,"$625,000",San Diego
919 W  Lewis St   W  #8,3 Beds,2 Baths,"1,034 sqft",Year Built: 1992,Garage,"$825,000",San Diego
4419 Mount Castle Ave,4 Beds,2 Baths,"1,901 sqft",Year Built: 1958,2 Car Garage,"$1,180,000",San Diego
777 6th Ave #212,1 Bed,1 Bath,695 sqft,Year Built: 2005,Garage,"$499,000",San Diego
8738 Ferndale St,2 Beds,2 Baths,"1,008 sqft",Year Built: 1971,2 Car Garage,"$850,000",San Diego
8528 Via Mallorca #C,1 Bed,1 Bath,691 sqft,Year Built: 1972,1 Carport Spaces,"$599,990",San Diego
1934 Bonus Dr,4 Beds,3 Baths,"2,174 sqft",Year Built: 1961,2 Car Garage,"$1,499,000",San Diego
1376 Wyconda Way,3 Beds,2 Baths,"1,246 sqft",Year Built: 1973,2 Car Garage,"$620,000",San Diego
2758 Aristotle Dr,6 Beds,4 Baths,"3,073 sqft",Year Built: 1971,2 Car Garage,"$889,000",San Diego
8447 Run Of The Knls,4 Beds,5 Baths,"2,596 sqft",Year Built: 2004,3 Car Garage,"$2,695,000",San Diego
