Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
2027 S  Bucknell St,3,1,1248,1920,yes,289900,Philadelphia,232.29
1103 E  Durham St,3,4,1934,1950,yes,385000,Philadelphia,199.07
1156 S  53rd St,3,1,1140,1925,yes,160000,Philadelphia,140.35
2308 N  50th St,5,5,3150,1925,yes,480000,Philadelphia,152.38
111 E  Colonial St,3,2,1184,1959,yes,250000,Philadelphia,211.15
6208 Cardiff St,3,1,1120,1950,yes,239900,Philadelphia,214.2
1903 Spruce St #3F,2,3,1716,1900,no,595000,Philadelphia,346.74
2101-17 Chestnut St #1602,0,1,406,1956,yes,169900,Philadelphia,418.47
1324 Locust St #616,0,1,335,1900,yes,89900,Philadelphia,268.36
2916 W  Oxford St,4,4,2650,2023,yes,500000,Philadelphia,188.68
115 S VAN PELT St,3,4,2682,2015,yes,2250000,Philadelphia,838.93
4500 Salmon St,3,3,2502,1920,yes,465322,Philadelphia,185.98
308 Reed St   #1,2,1,1250,2023,yes,575000,Philadelphia,460.0
2606 E  Hagert St,4,3,3100,2022,yes,725000,Philadelphia,233.87
428 W  Master St   #A2,3,3,2246,2023,yes,669000,Philadelphia,297.86
1608 Ridge Ave  #402,2,1,910,2016,yes,290000,Philadelphia,318.68
130 Delancey St,4,6,4439,1800,yes,2600000,Philadelphia,585.72
246 S  Farragut St,6,3,2240,1925,no,699990,Philadelphia,312.5
Kahn Model Plan in Regent Row by Jim Roche Real Estate Team,3,3,3364,2023,yes,949900,Philadelphia,282.37
1412 S  5th St,2,2,2372,1915,no,595000,Philadelphia,250.84
6237 Delancey St,4,2,960,1925,yes,165000,Philadelphia,171.88
340 N  59th St,3,1,948,1920,yes,60000,Philadelphia,63.29
1025 N  45th St,3,1,1136,1925,yes,150000,Philadelphia,132.04
259 E  Tusculum St,2,1,672,1920,yes,65000,Philadelphia,96.73
3309 Gransback St,3,1,942,1935,yes,105000,Philadelphia,111.46
6719 N  17th St,3,1,1230,1925,no,165000,Philadelphia,134.15
2513 N  Bancroft St,3,1,1038,1915,yes,70000,Philadelphia,67.44
2411 N  19th St,4,4,1915,1915,yes,289900,Philadelphia,151.38
2233 W  Cumberland St,3,1,1372,1925,yes,110000,Philadelphia,80.17
520 Belgrade St,3,2,1430,1885,yes,575000,Philadelphia,402.1
2357 N  Leithgow St,3,1,918,1915,yes,214000,Philadelphia,233.12
2545 N  6th St,3,1,1305,1915,yes,225000,Philadelphia,172.41
1641 Fillmore St,2,1,1008,1935,yes,94000,Philadelphia,93.25
3859 Pennsgrove St,3,1,808,1930,yes,150000,Philadelphia,185.64
2918 Memphis St,3,2,1036,1925,yes,274890,Philadelphia,265.34
2330 S  21st St,4,2,2200,1920,no,610000,Philadelphia,277.27
1326 S  Paxon St,3,3,1450,1940,yes,249900,Philadelphia,172.34
2451 N  33rd St,4,3,1500,1915,yes,310000,Philadelphia,206.67
1300 N  Newkirk St,4,2,1575,1926,no,399500,Philadelphia,253.65
1416 N  30th St,3,2,1038,1925,yes,299900,Philadelphia,288.92
2604 Amber St,2,1,1024,1875,yes,249900,Philadelphia,244.04
2037 E  Fletcher St,2,2,1575,1875,yes,385000,Philadelphia,244.44
1930 W  Berks St,6,6,1536,1915,yes,299900,Philadelphia,195.25
2901 W  Diamond St,3,2,1504,1915,yes,309900,Philadelphia,206.05
4136 L St,3,2,1408,1925,yes,210000,Philadelphia,149.15
6131 Master St,3,1,965,1925,no,110000,Philadelphia,113.99
1539 S  21st St,3,2,1170,1920,yes,385000,Philadelphia,329.06
5418 Harvest Run Dr,6,6,4687,2001,yes,3295000,San Diego,703.01
4368 42nd St #3,2,2,947,1984,yes,629000,San Diego,664.2
6415 Benson Ave,5,3,1789,1987,yes,699000,San Diego,390.72
16326 Avenida Venusto #B,3,3,1632,1990,yes,799000,San Diego,489.58
3820-3820 Quarter Mile Dr,3,3,1947,2004,yes,1539000,San Diego,790.45
700 W  East St #1901,3,2,1315,2007,yes,1240000,San Diego,942.97
50 Montego Ct,3,3,1492,1982,yes,1490000,San Diego,998.66
6296 Lisieux Ter,3,2,1762,1976,yes,1395000,San Diego,791.71
1328 S  58th St,4,2,2178,1963,yes,859000,San Diego,394.4
617 Westbourne St,3,2,1718,1980,yes,1495000,San Diego,870.2
700 W  Harbor Dr   W  #2902,2,2,2047,2004,yes,2999900,San Diego,1465.51
725-727 San Fernando Pl,6,6,2870,1991,yes,3750000,San Diego,1306.62
1750 Avenida Del Mundo #1108,2,2,1400,1978,yes,2849000,San Diego,2035.0
7980 Mission Center Ct #F,2,1,726,1981,yes,449000,San Diego,618.46
8334 Glen Vista Ct,4,2,1986,1975,yes,749995,San Diego,377.64
721-723 San Fernando Pl,6,6,2870,1991,yes,3750000,San Diego,1306.62
1307 Caminito Gabaldon #E,1,1,726,1975,yes,399900,San Diego,550.83
3050 Rue D Orleans #321,1,1,547,1969,yes,485000,San Diego,886.65
3340 Del Sol Blvd #12,2,2,1344,1978,yes,247000,San Diego,183.78
13522 Calais Dr,4,2,1665,1970,yes,2050000,San Diego,1231.23
5159 Marlborough Dr,2,2,2124,1926,yes,2150000,San Diego,1012.24
3907 Georgia St #26,1,1,657,1997,yes,458900,San Diego,698.48
3749 Kingsley St,3,1,1087,1951,yes,1099000,San Diego,1011.04
1806 McKee St #A3,2,3,1430,1982,yes,749000,San Diego,523.78
3851 Curtis St,4,2,1640,1965,yes,1295000,San Diego,789.63
6711 Kenmar Way,5,6,3789,2017,yes,3149000,San Diego,831.09
8909 Fallwood Ave,4,2,1550,1974,yes,1085777,San Diego,700.5
823 9th St,4,4,2400,2023,yes,3485000,San Diego,1452.08
3244-50 Reynard Way,4,4,2000,1952,no,3950000,San Diego,1975.0
4686 Mount Alifan Dr,3,2,1252,1959,yes,1255000,San Diego,1002.4
3246 Geronimo Ave,5,5,3367,1990,yes,2590000,San Diego,769.23
9534 Vervain St,4,3,2217,1987,yes,1349900,San Diego,608.89
1565 Northrim Ct #295,1,1,840,1980,yes,635000,San Diego,755.95
4677 Pescadero Ave,2,1,870,1948,no,1199000,San Diego,1378.16
6734 University Ave,1,1,535,1981,no,349990,San Diego,654.19
906 Harwood St,3,2,1344,1958,yes,645000,San Diego,479.91
5592 Elgin Ave,2,1,850,1957,yes,659000,San Diego,775.29
1055 Agate St #2,2,2,964,1988,yes,999999,San Diego,1037.34
13003 Evening Creek Dr S  #3,2,3,1450,2005,yes,850000,San Diego,586.21
450 J St   #7211,2,2,1016,2004,yes,699000,San Diego,687.99
7808 Santaluz Inlt,4,7,7282,2014,yes,6600000,San Diego,906.34
15070 Avenida Venusto #233,2,1,875,1988,yes,549000,San Diego,627.43
16404 Avenida Venusto #C,3,2,1506,1994,yes,805000,San Diego,534.53
12322 Santiago Rd E,2,2,1120,1964,yes,595000,San Diego,531.25
5564 Dream St,3,3,1436,1953,yes,799900,San Diego,557.03
12445 Brickellia St,5,3,2700,1990,yes,1490000,San Diego,551.85
6386 Rancho Mission Rd #305,1,1,506,1979,yes,385000,San Diego,760.87
5024 Old Cliffs Rd,3,2,1440,1970,yes,333333,San Diego,231.48
4540 60th St #313,2,1,890,1996,yes,479000,San Diego,538.2
427 9th Ave #201,1,1,843,2005,yes,674900,San Diego,800.59
3831 Overpark Rd,4,4,2594,1986,yes,2195000,San Diego,846.18
8065 Doug Hl,4,5,4655,2009,yes,4595000,San Diego,987.11
1388 Kettner Blvd #708,2,2,1386,2019,yes,1425000,San Diego,1028.14
3225 Newell St #6,3,2,1347,1985,yes,939000,San Diego,697.1
3880 Chippewa Ct,4,3,1942,1955,yes,1417888,San Diego,730.12
230 W  Laurel St #505,3,2,1866,1984,yes,999000,San Diego,535.37
5252 Balboa Arms Dr #161,2,2,820,1995,yes,579000,San Diego,706.1
8083 Run Of The Knls,3,4,3221,2003,yes,3149000,San Diego,977.65
4444 W  Point Loma Blvd #74,1,1,725,1966,yes,449000,San Diego,619.31
2411 Blackton Dr,3,3,1844,1959,yes,839999,San Diego,455.53
7403 La Mantanza,4,4,3854,2003,yes,2689000,San Diego,697.72
5050 A St #13,3,2,990,1997,yes,440000,San Diego,444.44
3967 Nobel Dr #257,0,1,420,1987,yes,439900,San Diego,1047.38
1235 Parker Pl #F,2,2,1044,1974,yes,1995000,San Diego,1910.92
764 F Ave,3,3,1905,2018,yes,2498000,San Diego,1311.29
13259 Via San Lorenza Dr,3,3,1707,2003,yes,1195000,San Diego,700.06
13283 Rancho Penasquitos Blvd #J204,1,1,602,1992,yes,439000,San Diego,729.24
3512 Dickens St,3,3,2350,1954,yes,1995000,San Diego,848.94
4850 69th Pl,4,2,1624,1953,yes,859000,San Diego,528.94
5835 Caminito Del Estio,3,3,2236,1987,yes,1645000,San Diego,735.69
8118 Gilman Ct,4,4,3397,1999,yes,2350000,San Diego,691.79
7036 Park Mesa Way #32,2,1,880,1980,yes,520000,San Diego,590.91
3161-63 Imperial Ave,2,2,880,1953,yes,1300000,San Diego,1477.27
421 17th St,3,3,1315,2000,yes,1499000,San Diego,1139.92
4064 Huerfano Ave #253,2,1,852,1972,yes,480000,San Diego,563.38
1325 Pacific Hwy #403,2,2,1324,2009,yes,1050000,San Diego,793.05
7902 Shorewood Dr,5,2,1733,1962,yes,779000,San Diego,449.51
9960 Scripps Vista Way #118,3,3,1352,1994,yes,785000,San Diego,580.62
885 Armada Ter,3,4,2362,1968,yes,2975000,San Diego,1259.53
18614 Caminito Cantilena #324,1,1,716,1993,yes,470000,San Diego,656.42
13087 Old West Ave,5,3,2518,1977,yes,1350000,San Diego,536.14
8178 Avenida Navidad #12,2,2,1084,1987,yes,799999,San Diego,738.01
2500 Torrey Pines Rd #1201,2,2,1344,1973,yes,1475000,San Diego,1097.47
5525 Norwich St,4,1,1242,1961,yes,879000,San Diego,707.73
7241 Skyline Dr,4,2,1405,1960,yes,625000,San Diego,444.84
11595 Big Canyon Ln,5,5,4298,2012,yes,2750000,San Diego,639.83
1845 Titus St,4,4,1944,2009,yes,1479000,San Diego,760.8
2628 Worden St #147,1,1,742,1969,yes,475000,San Diego,640.16
1430 Coolidge St,4,2,1832,1946,yes,929000,San Diego,507.1
52 Port Of Spain Rd,4,3,2293,1976,yes,2095000,San Diego,913.65
16755 Coyote Bush Dr #30,4,4,2173,2019,yes,1298000,San Diego,597.33
3955 Faircross Pl #45,1,1,724,1985,yes,315000,San Diego,435.08
3030 Suncrest Dr #509,1,1,636,1972,yes,399000,San Diego,627.36
8850 Villa La Jolla Dr #305,2,2,1243,1981,yes,899000,San Diego,723.25
17151 W  Bernardo Dr   W  #202,3,2,1056,1994,yes,630000,San Diego,596.59
16383 Avenida Nobleza,4,3,1934,1984,yes,1074000,San Diego,555.33
1251 Chalcedony St,5,4,3143,1980,yes,2680000,San Diego,852.69
6392 Camino De La Costa,5,6,5682,1961,yes,16800000,San Diego,2956.71
1319 Thermal Ave,3,2,1739,1963,yes,1100000,San Diego,632.55
525 11th Ave #1116,1,2,969,2004,yes,600000,San Diego,619.2
5079 Pacifica Dr,3,3,1920,1965,yes,2495000,San Diego,1299.48
5507 Limerick Ave,3,2,1221,1964,yes,1049000,San Diego,859.13
4546 Leathers St,6,4,2493,1974,yes,2195000,San Diego,880.47
4205 Ohio St #304,2,2,840,1990,yes,599000,San Diego,713.1
4451 Via Amable,3,3,1764,1981,yes,1295000,San Diego,734.13
2574 Caminito Muirfield,4,5,3717,1977,yes,2978000,San Diego,801.18
3492 National Ave,6,6,2456,2008,yes,1199000,San Diego,488.19
3223-3225 Idlewild Way,4,3,1600,1954,yes,1199900,San Diego,749.94
4377 McClintock St,6,5,2460,1925,yes,1650000,San Diego,670.73
3762-64 36th St,6,3,2396,1937,no,1550000,San Diego,646.91
5030 Via Papel,4,2,2195,1973,yes,1350000,San Diego,615.03
12150 Dormouse Rd,5,3,3668,1993,yes,1700000,San Diego,463.47
14076 Pebble Brook Ln,3,3,1490,1987,yes,1075000,San Diego,721.48
5219 Caminito Jubilo,2,3,1618,1978,yes,849000,San Diego,524.72
723-725 Balboa Ct,6,5,2625,1992,yes,2995000,San Diego,1140.95
7135 Fay Ave,3,4,2759,2002,yes,2495000,San Diego,904.31
3620 Mission Montana Dr,3,3,1589,1983,yes,899000,San Diego,565.76
680 Camino De La Reina #2313,3,2,1330,1995,yes,691000,San Diego,519.55
4577 New York St,4,3,2026,1921,yes,1700000,San Diego,839.09
6243 Dowling Dr,3,2,1734,1945,yes,2468000,San Diego,1423.3
1099 1st St #321,2,3,1841,1987,yes,1795000,San Diego,975.01
6753-6753 N  Elman St   #59,10,9,4146,2023,no,2700000,San Diego,651.23
3336 Mohican Ave,3,2,1824,1953,yes,1450000,San Diego,794.96
12098 Caminito Corriente,3,2,2161,1986,yes,1250000,San Diego,578.44
15495 Bristol Ridge Ter,3,3,1930,2007,yes,1299900,San Diego,673.52
2382 Grand Ave,1,1,722,1975,yes,497000,San Diego,688.37
12350 Springwater Poin,3,3,1425,1993,yes,924900,San Diego,649.05
8498 Blackburn Ln,5,5,3834,2011,yes,2300000,San Diego,599.9
2930 Cowley Way #211,2,2,1362,1982,yes,699000,San Diego,513.22
3965 Newton Ave,5,2,1872,1953,yes,750000,San Diego,400.64
9986 Via Daroca,4,2,1344,1973,yes,979000,San Diego,728.42
11347 Merritage Ct,4,4,3110,2005,yes,1599000,San Diego,514.15
6282 Belmont Trail Ct,5,5,4433,2014,yes,4499999,San Diego,1015.11
4478 Monaco St,5,3,3427,1980,yes,3025000,San Diego,882.7
888 E St   #3504,3,3,2450,2018,yes,3695000,San Diego,1508.16
1845 Sheridan Ave,4,3,1932,1924,yes,1889000,San Diego,977.74
5036 Old Cliffs Rd,2,2,1440,1970,no,199000,San Diego,138.19
6176 Avenida Alteras,6,6,6588,1988,yes,6595000,San Diego,1001.06
10765 Elderwood Ln,4,3,2225,1986,yes,1995000,San Diego,896.63
11846 Cypress Valley Dr,4,3,2271,1999,yes,1498000,San Diego,659.62
3412 Yonge St,5,3,2184,1939,yes,1595000,San Diego,730.31
2930 Cowley Way #203,2,2,1362,1982,yes,719900,San Diego,528.56
7254 Shoreline Dr #130,2,2,997,1990,yes,849000,San Diego,851.55
2562 Baily Ave,4,3,1754,1958,yes,849000,San Diego,484.04
12162 Rancho Bernardo Rd,2,2,1182,1984,yes,579000,San Diego,489.85
12110 Wooded Vista Ln,5,3,3039,1996,yes,1550000,San Diego,510.04
10494 Brooktree Ter,4,2,2064,1983,yes,1495000,San Diego,724.32
4642 Felton St #2,2,1,720,1981,yes,575000,San Diego,798.61
2836 30th St,2,1,1206,1913,yes,1165000,San Diego,966.0
4128 Orange Ave,2,2,784,1926,yes,729000,San Diego,929.85
5253 Countryside Dr,5,4,3267,1965,yes,1399900,San Diego,428.5
2336 Sumac Dr,5,3,2112,1965,yes,1000000,San Diego,473.48
5922 Flipper Dr,4,2,1196,1977,yes,749000,San Diego,626.25
14676 Via Fiesta #4,2,1,732,2004,yes,304146,San Diego,415.5
2856-62 Franklin Ave,8,4,3210,1955,no,2000000,San Diego,623.05
2732 Via Alta Pl,3,4,1774,2021,yes,1395000,San Diego,786.36
8813 Betelgeuse Way,3,2,1405,1972,yes,925000,San Diego,658.36
1500 Orange Ave  #44,2,2,1498,2022,yes,3650000,San Diego,2436.58
3980 8th Ave #107,1,1,641,1972,yes,499000,San Diego,778.47
13263 Rancho Penasquitos Blvd #K208,2,1,750,1992,yes,498000,San Diego,664.0
3778 50th St #15,1,1,576,1979,yes,320000,San Diego,555.56
2586 Azure Coast Dr,4,3,2332,1966,yes,2495000,San Diego,1069.9
5021 Litchfield Rd,3,3,2543,1988,yes,1750000,San Diego,688.16
4820 Santa Cruz Ave #4,3,3,1334,1993,yes,1250000,San Diego,937.03
4731 El Cerrito Pl,4,2,2146,1955,yes,1175000,San Diego,547.53
1763 Sunset Blvd,5,4,2310,1916,yes,2099900,San Diego,909.05
700 Front St #1508,1,2,1200,1986,yes,805000,San Diego,670.83
17860 Creciente Way,4,3,2353,1986,yes,1395000,San Diego,592.86
5055 Collwood Blvd #210,2,2,971,1974,yes,545000,San Diego,561.28
3219 Polk Ave,2,1,722,1927,yes,714990,San Diego,990.29
3717 Caminito Carmel Lndg,3,3,1368,1985,yes,985000,San Diego,720.03
1270 Cleveland Ave #E144,2,2,1028,1991,yes,749000,San Diego,728.6
330 Brookes Ave,4,2,1920,2003,yes,1585000,San Diego,825.52
12485 Via Cabezon,4,3,1958,1974,yes,1299999,San Diego,663.94
4271 45th St #4,2,2,768,1998,yes,459000,San Diego,597.66
4050 Rosenda Ct #238,2,2,1086,1986,yes,725000,San Diego,667.59
2794 Luna Ave,4,2,1447,1956,yes,1110000,San Diego,767.1
5212 Beachfront Cove St   #36,4,4,1875,2021,yes,679000,San Diego,362.13
8688 New Salem St #181,2,2,831,1992,yes,599900,San Diego,721.9
6118 Alderley St,4,2,1424,1962,yes,749999,San Diego,526.68
6740 University Ave,1,1,535,1981,yes,359900,San Diego,672.71
11024 Logan Way,4,4,2186,2020,yes,1150000,San Diego,526.08
555 Front St #205,2,2,1234,2002,yes,925000,San Diego,749.59
2224 Imogene Ave,3,1,935,1959,yes,599000,San Diego,640.64
12275 Casero Ct,2,2,1450,1969,yes,749000,San Diego,516.55
5551 Warbler Way,4,5,4475,2001,yes,5850000,San Diego,1307.26
9249 Village Glen Dr #205,2,1,912,1980,yes,515000,San Diego,564.69
1804 Mission Cliff Dr,2,1,1039,1947,yes,1050000,San Diego,1010.59
1621 Hotel Cir S  #E131,2,2,950,1972,yes,510000,San Diego,536.84
4262 Wilson Ave #6,1,1,540,1983,yes,399000,San Diego,738.89
2491 Red Pine Dr,3,2,1498,1983,yes,779900,San Diego,520.63
1199 Pacific Hwy #2605,3,2,1447,2004,yes,1599000,San Diego,1105.04
2408-10 1st Ave,4,4,7710,1889,yes,6485000,San Diego,841.12
16164 Mesto Dr,2,2,1772,1970,yes,875000,San Diego,493.79
11948 Black Mountain Rd #28,3,3,1510,1992,yes,875000,San Diego,579.47
11124 Poblado Rd,2,2,1116,1971,yes,649000,San Diego,581.54
2750 Wheatstone St #184,3,2,1172,2018,yes,297500,San Diego,253.84
3535 Jackdaw St,4,2,2215,1913,yes,1795000,San Diego,810.38
4209 Moraga Ave,4,3,2334,2005,yes,1488800,San Diego,637.87
2054-2054 N  Highland Ave  #2058,3,3,1675,2023,no,1249900,San Diego,746.21
3620 Park Blvd #8,1,1,525,1939,yes,449900,San Diego,856.95
2036-2036 N  Highland Ave  #2040,6,21,2601,2023,yes,1499900,San Diego,576.66
17897 Creciente Way,3,2,1808,1986,yes,1200000,San Diego,663.72
3548 Alabama St,4,4,2809,1933,yes,1949000,San Diego,693.84
2855 Union St,4,3,2078,1977,yes,1995000,San Diego,960.06
11957 Meriden Ln,3,3,1485,1994,yes,1099999,San Diego,740.74
12781 Adolphia Ct,5,3,2506,1989,yes,1490000,San Diego,594.57
8451 Via Mallorca #33,2,3,1074,1977,yes,825000,San Diego,768.16
7761 Road To Zanzibar,5,6,6138,2014,yes,5995000,San Diego,976.7
3905 Arroyo Sorrento Rd,4,5,4654,1995,yes,3199000,San Diego,687.37
12951 Longboat Way,4,3,2256,1972,yes,2595000,San Diego,1150.27
Plan 5 in Atwood at 3Roots by Shea Homes-Family,2,3,1669,2023,no,930000,San Diego,557.22
3057 Walton Pl,3,2,800,2015,yes,849000,San Diego,1061.25
4966 Waring Rd #C,2,3,1296,1982,yes,625000,San Diego,482.25
919 W  Lewis St   W  #8,3,2,1034,1992,yes,825000,San Diego,797.87
4419 Mount Castle Ave,4,2,1901,1958,yes,1180000,San Diego,620.73
777 6th Ave #212,1,1,695,2005,yes,499000,San Diego,717.99
8738 Ferndale St,2,2,1008,1971,yes,850000,San Diego,843.25
8528 Via Mallorca #C,1,1,691,1972,yes,599990,San Diego,868.29
1934 Bonus Dr,4,3,2174,1961,yes,1499000,San Diego,689.51
1376 Wyconda Way,3,2,1246,1973,yes,620000,San Diego,497.59
2758 Aristotle Dr,6,4,3073,1971,yes,889000,San Diego,289.29
8447 Run Of The Knls,4,5,2596,2004,yes,2695000,San Diego,1038.14
790 Portside Pl,3,2,1400,2005,yes,629900,San Diego,449.93
1435 India St #307,2,2,999,2005,yes,729000,San Diego,729.73
16907 New Rochelle Way #86,3,3,1428,2006,yes,915000,San Diego,640.76
4961 Pacifica Dr,4,2,1920,1961,yes,2375000,San Diego,1236.98
11875 Caminito Corriente,3,2,2161,1989,yes,1195000,San Diego,552.98
2352 Calle Del Oro,3,3,2427,1955,yes,4850000,San Diego,1998.35
1025 Island Ave #401,2,2,1317,2006,yes,868000,San Diego,659.07
8947 Caminito Fresco,3,2,1620,1972,yes,1150000,San Diego,709.88
7839 Wing Span Dr,4,3,2410,1984,yes,1280000,San Diego,531.12
1936 Parrot St,3,2,1072,1954,yes,749900,San Diego,699.53
949 D Ave,4,5,2315,2021,yes,3850000,San Diego,1663.07
5181 La Dorna St,6,3,1394,1955,yes,1199000,San Diego,860.11
1538 Kearsarge Rd,6,8,8397,1990,yes,13750000,San Diego,1637.49
1199 Pacific Hwy #2001,3,2,1684,2004,yes,1595000,San Diego,947.15
939 Coast Blvd #16G,2,2,1799,1993,yes,3500000,San Diego,1945.53
1608 India St #203,1,2,1005,2003,yes,699000,San Diego,695.52
5137 Rincon St,7,4,2039,1951,yes,1249000,San Diego,612.56
555 Front St #405,2,2,1156,2002,yes,850000,San Diego,735.29
1205 Pacific Hwy #2306,3,2,1684,2005,yes,2049000,San Diego,1216.75
1653 El Paso Real,5,4,2991,1972,yes,3495000,San Diego,1168.51
2500 6th Ave #401,2,3,2625,2003,yes,2299000,San Diego,875.81
1809 Calla St,2,2,820,2002,no,145000,San Diego,176.83
Plan 3 in Atwood at 3Roots by Shea Homes-Family,4,4,1872,2023,no,967000,San Diego,516.56
2236-2236 W  Jewett St   #42,7,4,2421,1941,yes,2100000,San Diego,867.41
4541 Florida St #105,1,1,581,1970,yes,429000,San Diego,738.38
4934 64th St,6,2,1763,1951,yes,1099000,San Diego,623.37
3460 Columbia St,2,3,1534,1981,yes,1095000,San Diego,713.82
939 Coast Blvd #8B,2,2,1937,1966,yes,3482000,San Diego,1797.63
4633 Mount Armet Dr,4,2,1499,1961,yes,1599000,San Diego,1066.71
6416 Friars Rd #106,1,1,661,1972,yes,469000,San Diego,709.53
4230 Bernadine Pl,3,2,1402,1952,yes,729999,San Diego,520.68
4236 Keeler Ave,3,2,1392,1941,no,798000,San Diego,573.28
1325 Pacific Hwy #308,3,3,2042,2009,yes,1588000,San Diego,777.67
16831 Crescent Creek Dr,5,6,4625,2013,yes,3800000,San Diego,821.62
5334 Olvera Ave,5,3,1724,2023,yes,849900,San Diego,492.98
3784 33rd St #11,2,2,768,1982,yes,585000,San Diego,761.72
5961 Camber Dr,3,2,1363,1962,yes,1585000,San Diego,1162.88
2384 Cowley Way,4,2,2751,2021,yes,1995000,San Diego,725.19
4106 Alameda Dr,4,4,3793,1911,yes,4650000,San Diego,1225.94
3616 Leland St,3,2,1462,1960,yes,1399000,San Diego,956.91
42 Antigua Ct,3,2,1729,1973,yes,1795000,San Diego,1038.17
4444 W  Point Loma Blvd #11,2,2,986,1966,yes,599900,San Diego,608.42
3614 Amaryllis Dr,3,2,1776,1952,yes,1650000,San Diego,929.05
821 Moana Dr,3,3,2259,1954,yes,1759000,San Diego,778.66
2834 Rockne St,3,2,1461,1961,yes,725000,San Diego,496.24
4444 New Jersey St,4,2,2029,1912,yes,1698000,San Diego,836.87
965 Alvin St,3,2,1277,1958,yes,699900,San Diego,548.08
1388 Kettner Blvd #603,2,2,1241,2019,yes,1137700,San Diego,916.76
5129 Bareback Sq,3,4,3300,1985,yes,3495000,San Diego,1059.09
6667 Merwell St,3,2,1323,1970,yes,1425000,San Diego,1077.1
4649 Terraza Mar Marvelosa,5,3,2905,2001,yes,2095000,San Diego,721.17
51 Spinnaker Way,4,4,3493,1988,yes,3350000,San Diego,959.06
15701 Wainright Ln,4,4,2547,2022,yes,1862900,San Diego,731.41
1355 Willow St,6,6,4662,1948,yes,3295000,San Diego,706.78
3964 Ashford St,3,2,1536,1959,yes,1049900,San Diego,683.53
550 Front St   #3004 & 300,3,5,4335,2006,yes,6150000,San Diego,1418.69
12536 Cavallo St,3,3,2119,1993,yes,1499000,San Diego,707.41
5459 Moonlight Ln,5,3,3945,1965,yes,4375000,San Diego,1109.0
702 Ash St #304,2,2,1116,1929,yes,675000,San Diego,604.84
6131 Rancho Mission Rd #212,1,1,680,1979,yes,419900,San Diego,617.5
3380 Trumbull St,3,3,2320,1955,yes,2195000,San Diego,946.12
2320 Via Aprilia,4,5,4404,2023,yes,7500000,San Diego,1703.0
12530 Carmel Creek Rd #139,1,1,638,1990,yes,560000,San Diego,877.74
510 1st Ave #202,2,2,1402,2002,yes,850000,San Diego,606.28
3218 Ibis St,4,5,2563,2017,yes,2499000,San Diego,975.03
1402 Everview Rd,4,4,2262,1972,yes,2249000,San Diego,994.25
6780 Mission Gorge Rd #4,2,2,1471,1980,yes,665000,San Diego,452.07
2030 Froude St,3,3,1914,1999,yes,1895000,San Diego,990.07
300 W  Beech St #1607,1,1,706,2004,yes,609000,San Diego,862.61
4845 Barstow St,4,3,1512,1958,yes,1199900,San Diego,793.58
4805 Iroquois Ave,10,8,3976,2023,yes,3400000,San Diego,855.13
1177 Pacific Beach Dr,3,2,1599,2002,yes,3500000,San Diego,2188.87
873 Sunnyside Ave,2,2,1062,1954,yes,624900,San Diego,588.42
4247 Pilon Point,4,3,2210,1986,yes,1900000,San Diego,859.73
1280 Lincoln Ave,3,2,1377,2013,yes,1180000,San Diego,856.94
850 State St #312,2,2,1275,1985,yes,829000,San Diego,650.2
4100 Voltaire St #125,2,3,1554,2019,yes,939000,San Diego,604.25
3422 Whittier St,4,4,2550,1948,yes,1919900,San Diego,752.9
5663 Willowmere Ln,5,3,2597,2000,yes,2150000,San Diego,827.88
6944 Country Club Dr,5,3,2464,1957,yes,3695000,San Diego,1499.59
336 S  37th St,2,2,735,2018,yes,619000,San Diego,842.18
Plan 2 in Atwood at 3Roots by Shea Homes-Family,3,4,1618,2023,no,900000,San Diego,556.24
4017 Del Mar Ave,4,2,1752,1929,yes,1600000,San Diego,913.24
550 Camino De La Reina #214,2,2,1274,1991,yes,659000,San Diego,517.27
1370 Nashville St,4,4,2373,1958,yes,1475000,San Diego,621.58
1025 Island Ave #302,2,2,1046,2006,yes,699000,San Diego,668.26
305 Pomona Ave,2,2,756,1887,yes,1695000,San Diego,2242.06
4510 Moraga Ave,3,2,1404,1956,yes,899000,San Diego,640.31
8302 Bashan Lake Ave,3,2,1251,1960,yes,975000,San Diego,779.38
14946 Valle Del Sur Ct,4,5,6157,2016,yes,5250000,San Diego,852.69
10418 Scripps Poway Pkwy #98,2,3,1134,2003,yes,810000,San Diego,714.29
5180 Appleton St,3,3,1399,1960,yes,1200000,San Diego,857.76
1447 Reed Ave,4,2,1599,1950,yes,1700000,San Diego,1063.16
17196 Libertad Dr,4,3,2160,1970,yes,1195000,San Diego,553.24
1771 Royston Dr,3,2,1460,1970,yes,850000,San Diego,582.19
18752 Caminito Cantilena #171,2,2,1140,1993,yes,650000,San Diego,570.18
1830 Avenida Del Mundo #1103,1,1,756,1974,yes,1450000,San Diego,1917.99
3130-3130 62nd St,3,2,1230,1951,no,825000,San Diego,670.73
11531 Rose Garden Ct,6,4,3144,2005,yes,1699000,San Diego,540.39
5686 Taft Ave,6,8,5225,2000,yes,6800000,San Diego,1301.44
4028 Mahaila Ave #C,3,3,1729,1979,yes,1100000,San Diego,636.21
Plan 6 in Atwood at 3Roots by Shea Homes-Family,2,3,1686,2023,no,945000,San Diego,560.5
