Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
5316 Haverford Ave,3 Beds,2 Baths,"1,042 sqft",Year Built: 1925,Open Parking,"$199,900",Philadelphia
1834 E  Madison St,3 Beds,1 Bath,992 sqft,Year Built: 1925,Open Parking,"$88,000",Philadelphia
1706 N  Bouvier St,5 Beds,5 Baths,"1,530 sqft",Year Built: 1920,None,"$264,999",Philadelphia
2818 Cantrell St,3 Beds,1 Bath,940 sqft,Year Built: 1925,Open Parking,"$109,900",Philadelphia
4926 N  Warnock St,3 Beds,2 Baths,"1,280 sqft",Year Built: 1935,Open Parking,"$225,000",Philadelphia
5127 N  9th St,4 Beds,2 Baths,"2,054 sqft",Year Built: 1935Year Renovated: 2023,2 Open Spaces,"$238,000",Philadelphia
6300 Lawnton Ave,4 Beds,5 Baths,"2,378 sqft",Year Built: 1940,Garage,"$399,995",Philadelphia
5628 Angora Ter,3 Beds,2 Baths,"1,842 sqft",Year Built: 1925Year Renovated: 2023,Open Parking,"$224,900",Philadelphia
1224 McKinley St,3 Beds,2 Baths,"1,394 sqft",Year Built: 1941,Open Parking,"$310,000",Philadelphia
2211 Glenview St,3 Beds,1 Bath,"1,272 sqft",Year Built: 1950,1 Car Garage,"$259,000",Philadelphia
3120 Magee Ave,3 Beds,2 Baths,"1,896 sqft",Year Built: 1950,1 Car Garage,"$309,500",Philadelphia
3177 Weston St,3 Beds,2 Baths,"1,963 sqft",Year Built: 1957,2 Open Spaces,"$450,000",Philadelphia
3459 Aubrey Ave,3 Beds,2 Baths,"1,224 sqft",Year Built: 1960,Open Parking,"$319,000",Philadelphia
67 E  High St,3 Beds,1 Bath,"2,565 sqft",Year Built: 1925,Open Parking,"$150,000",Philadelphia
5350 Osage Ave,3 Beds,1 Bath,"1,224 sqft",Year Built: 1925,Open Parking,"$150,000",Philadelphia
605 W  64th Ave,5 Beds,3 Baths,"12,040 sqft (on 0.28 acres)",Year Built: 1915,Garage,"$625,000",Philadelphia
2704 Stevens St,3 Beds,1 Bath,928 sqft,Year Built: 1950,1 Car Garage,"$169,000",Philadelphia
3580 Churchill Ln,3 Beds,2 Baths,"1,260 sqft",Year Built: 1964,1 Car Garage,"$280,000",Philadelphia
250 S  13th St #7F,2 Beds,2 Baths,"1,460 sqft",Year Built: 1920,1 Parking Spaces,"$529,000",Philadelphia
1324 Locust St #721,Studio,1 Bath,319 sqft,Year Built: 1900,None,"$100,000",Philadelphia
1101 Locust St #9A,2 Beds,2 Baths,"1,163 sqft",Year Built: 2010,1 Car Garage,"$686,000",Philadelphia
3470 Woodhaven Rd,3 Beds,3 Baths,"2,183 sqft",Year Built: 2008,1 Car Garage,"$384,900",Philadelphia
1626 Pine St,4 Beds,3 Baths,"1,776 sqft",Year Built: 1840,None,"$1,195,000",Philadelphia
2122 N  17th St,10 Beds,8 Baths,"3,188 sqft",Year Built: 2019,Open Parking,"$715,000",Philadelphia
2224 W  Venango St,14 Beds,,"2,800 sqft",Year Built: 1925,None,"$210,000",Philadelphia
309 Arch St #405,1 Bed,1 Bath,660 sqft,Year Built: 1900,Open Parking,"$320,000",Philadelphia
4533 Riverside Way,4 Beds,4 Baths,"3,680 sqft",Year Built: 2020,2 Car Garage,"$1,565,000",Philadelphia
1139 N  3rd St   #8,2 Beds,2 Baths,"1,213 sqft",Year Built: 2023,1 Carport Spaces,"$725,000",Philadelphia
9228 Blue Grass Rd   #38-42,2 Beds,2 Baths,"1,136 sqft",Year Built: 2006,Parking Lot,"$225,000",Philadelphia
2039 W  Oxford St,5 Beds,,"1,880 sqft",Year Built: 1915,Open Parking,"$449,999",Philadelphia
610-610 N  Union St   #614,6 Beds,6 Baths,"2,800 sqft",,Open Parking,"$1,490,000",Philadelphia
6242 Haverford Ave,,,,,No Info,"$1,300,000",Philadelphia
328 N  63rd St,,,,,No Info,"$1,400,000",Philadelphia
1766 N  Howard St,3 Beds,3 Baths,"2,673 sqft",Year Built: 2021,1 Car Garage,"$738,900",Philadelphia
1913 N  Gratz St,7 Beds,3 Baths,"3,348 sqft",Year Built: 2011,Open Parking,"$460,000",Philadelphia
1434 N  Carlisle St,13 Beds,,"3,356 sqft",Year Built: 2012,4 Car Garage,"$1,150,000",Philadelphia
Unit 304 Plan in The Moyer by The Maxim Shtraus Group,2 Beds,2 Baths,"1,327 sqft",Year Built: 2023,Garage,"$534,900+",Philadelphia
Jameson Model #3 Plan in Regent Row by Jim Roche Real Estate Team,3 Beds,3 Baths,"2,673 sqft",Year Built: 2023,Garage,"$759,900+",Philadelphia
Gianna Plan in Siena Place by Judd Builders and Developers,3 Beds,4 Baths,"2,896 sqft",Year Built: 2023,No Info,"$680,900+",Philadelphia
1329 S  7th St,3 Beds,3 Baths,"1,428 sqft",Year Built: 1920,Open Parking,"$450,000",Philadelphia
1037 Federal St,4 Beds,3 Baths,"2,420 sqft",Year Built: 1915,None,"$649,000",Philadelphia
5446 Spring St,2 Beds,1 Bath,748 sqft,Year Built: 1920,Open Parking,"$90,000",Philadelphia
