Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
Cherry Oak Plan in Trailside at Cottonwood Creek by David Weekley Homes,3 Beds,3 Baths,"2,553 sqft",Year Built: 2023,No Info,"$533,990+",Colorado Springs
4065 Scotch Pine Dr,3 Beds,2 Baths,"1,230 sqft",Year Built: 1984,2 Car Garage,"$370,000",Colorado Springs
7950 Ruststone Ct,3 Beds,3 Baths,"3,964 sqft (on 1.17 acres)",Year Built: 1997,3 Car Garage,"$950,000",Colorado Springs
6538 Shadow Hill Ln,3 Beds,2 Baths,"1,521 sqft",Year Built: 2017,2 Car Garage,"$475,000",Colorado Springs
4988 Wolf Moon Dr,4 Beds,4 Baths,"2,793 sqft",Year Built: 2020,2 Car Garage,"$525,000",Colorado Springs
162 Luxury Ln,4 Beds,4 Baths,"3,958 sqft",Year Built: 1995,2 Car Garage,"$499,000",Colorado Springs
4780 Broadlake Vw,4 Beds,8 Baths,"9,313 sqft (on 1.92 acres)",Year Built: 2016,4 Car Garage,"$3,500,000",Colorado Springs
8390 Pilot Ct,5 Beds,4 Baths,"2,837 sqft (on 0.27 acres)",Year Built: 1983,2 Car Garage,"$584,900",Colorado Springs
Pinehurst Plan in Village Cooperative of Ute Valley (Active Adults 62+) by Village Cooperative,2 Beds,2 Baths,"1,310 sqft",Year Built: 2023,No Info,"$238,000+",Colorado Springs
117 E  Bijou St   #204,1 Bed,1 Bath,913 sqft,Year Built: 2016,Garage,"$425,000",Colorado Springs
10649 Desert Bloom Way,6 Beds,4 Baths,"3,120 sqft",Year Built: 2017,3 Car Garage,"$519,900",Colorado Springs
1339 Kachina Dr,4 Beds,2 Baths,"1,784 sqft (on 0.25 acres)",Year Built: 1971,1 Car Garage,"$404,000",Colorado Springs
Chicago Plan in Urban Collection at Palmer Village by Richmond American Homes,3 Beds,3 Baths,"1,470 sqft",Year Built: 2023,No Info,"$379,950+",Colorado Springs
2248 Ramsgate Ter,3 Beds,3 Baths,"2,910 sqft (on 0.31 acres)",Year Built: 1986,3 Car Garage,"$629,000",Colorado Springs
