Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
2250 N  Pennsylvania St #9,,,,Year Built: 2004,Garage,"$279,900",Indianapolis
5730 Lawton Loop West Dr,,,,Year Built: 1908,Garage,"$929,900",Indianapolis
3331 N  Hawthorne Ln,,,,,No Info,"$16,900",Indianapolis
2028 Columbia Ave,,,,Year Built: 2022,Garage,"$520,000",Indianapolis
1607 Draper St,,,,Year Built: 1920,No Info,"$210,000",Indianapolis
1404 Spann Ave,,,,Year Built: 2019,Garage,"$425,000",Indianapolis
4756 Bethel Creek Blvd,,,,Year Built: 2021,3 Car Garage,"$430,000",Indianapolis
804 W  42nd St,,,,Year Built: 1909,No Info,"$240,000",Indianapolis
9278 Spring Forest Dr,,,,Year Built: 1984,2 Car Garage,"$485,000",Indianapolis
1153 Linden St,,,,Year Built: 1900,Garage,"$350,000",Indianapolis
6474 N  College Ave,,,,Year Built: 1935,1 Car Garage,"$260,000",Indianapolis
6454 Park Central Way  #C,,,,Year Built: 1973,No Info,"$119,900",Indianapolis
935 E  Raymond St,,,,Year Built: 1915,No Info,"$225,000",Indianapolis
933 E  Raymond St,,,,Year Built: 1915,No Info,"$225,000",Indianapolis
1445 W  34th St,,,,Year Built: 1930,Garage,"$64,000",Indianapolis
4528 E  10th St,,,,Year Built: 1925,Garage,"$125,000",Indianapolis
10407 Deercrest Ln,,,,Year Built: 2018,2 Car Garage,"$359,000",Indianapolis
11345 Leander Ln,,,,Year Built: 1983,2 Car Garage,"$449,900",Indianapolis
1001 Albany St,,,,Year Built: 1910,Garage,"$169,900",Indianapolis
8580 Sargent Rd,,,,Year Built: 1959,2 Car Garage,"$640,000",Indianapolis
4354 Evanston Ave,,,,Year Built: 1972,Open Parking,"$215,000",Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
1112 Lexington Ave,,,,Year Built: 1860,No Info,"$235,000",Indianapolis
5005 Lucas Ln,,,,Year Built: 1973,2 Car Garage,"$249,900",Indianapolis
,,,,,,,Indianapolis
1641 Carrollton Ave,,,,Year Built: 1911,Garage,"$400,000",Indianapolis
1419 Lexington Ave,,,,Year Built: 1955,No Info,"$235,000",Indianapolis
6360 Around The Hills Rd,,,,Year Built: 1941,3 Car Garage,"$895,000",Indianapolis
4518 E  New York St,,,,Year Built: 1920,Open Parking,"$124,900",Indianapolis
3312 Bay Road South Dr,,,,Year Built: 1988,2 Car Garage,"$689,900",Indianapolis
,,,,,,,Indianapolis
1743 S  Pershing Ave,,,,Year Built: 1955,No Info,"$80,000",Indianapolis
6741 Devinney Ln,,,,Year Built: 1998,No Info,"$297,330",Indianapolis
3262 N  Emerson Ave,,,,,No Info,"$15,000",Indianapolis
4702 N  Illinois St,,,,Year Built: 1936,Garage,"$799,000",Indianapolis
4701 English Ave,,,,Year Built: 1945,2 Car Garage,"$170,000",Indianapolis
,,,,,,,Indianapolis
4000 N  Meridian St #16H,,,,Year Built: 1968,2 Car Garage,"$425,000",Indianapolis
4108 Carson Ave,,,,Year Built: 1967,2 Car Garage,"$274,900",Indianapolis
427 N  State Ave,,,,Year Built: 1960,Garage,"$649,900",Indianapolis
1305 Jefferson Ave,,,,Year Built: 2018,Garage,"$715,000",Indianapolis
1306 Laurel St,,,,Year Built: 1880,Garage,"$299,900",Indianapolis
1459 S  Meridian St,,,,,No Info,"$100,000",Indianapolis
1585 Danielle Dr,,,,Year Built: 2005,2 Car Garage,"$409,999",Indianapolis
10373 E  Old National Rd,,,,Year Built: 1979,Garage,"$1,257,000",Indianapolis
10309 Gateway Dr,,,,Year Built: 2023,2 Car Garage,"$296,000",Indianapolis
10311 Gateway Dr,,,,Year Built: 2023,2 Car Garage,"$295,000",Indianapolis
,,,,,,,Indianapolis
129 Yorkshire Blvd E,,,,Year Built: 1990,3 Car Garage,"$399,900",Indianapolis
,,,,,,,Indianapolis
3135 E  Minnesota St,,,,Year Built: 1962,No Info,"$135,000",Indianapolis
1043 N  Mount St,,,,Year Built: 1915,No Info,"$135,000",Indianapolis
7701 Venetian Way,,,,Year Built: 1979,2 Car Garage,"$285,000",Indianapolis
Homes Available Soon Plan in Cottage Station by Ryan Homes,,,,Year Built: 2023,No Info,,Indianapolis
12548 Teacup Way,,,,Year Built: 2005,2 Car Garage,"$270,000",Indianapolis
9350 Aspen Glen Dr,,,,Year Built: 2023,2 Car Garage,"$359,000",Indianapolis
448 N  Linwood Ave,,,,Year Built: 1920,No Info,"$137,500",Indianapolis
2715 Guilford Ave,,,,Year Built: 1955,No Info,"$170,000",Indianapolis
7635 Knapp Rd,,,,,No Info,"$275,000",Indianapolis
6027 Lakeside Manor Ave,,,,Year Built: 1999,2 Car Garage,"$269,500",Indianapolis
8651 Jaffa Court East Dr #37,,,,Year Built: 1989,2 Car Garage,"$309,000",Indianapolis
7239 Birch Leaf Dr,,,,Year Built: 2019,2 Car Garage,"$575,000",Indianapolis
,,,,,,,Indianapolis
5834 W  62nd St,,,,Year Built: 1920,Garage,"$450,000",Indianapolis
772 W  26th St,,,,Year Built: 1920,No Info,"$145,000",Indianapolis
11639 Congressional Ln,,,,Year Built: 1999,2 Car Garage,"$218,000",Indianapolis
1156 Dawson St,,,,Year Built: 1910,No Info,"$360,000",Indianapolis
Willow Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$408,900+",Indianapolis
Keaton Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$263,700+",Indianapolis
Sedona Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$368,700+",Indianapolis
Hudson Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$335,100+",Indianapolis
Rowan Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$362,600+",Indianapolis
Olympia Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$344,000+",Indianapolis
Aria Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$252,400+",Indianapolis
Laine Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$258,200+",Indianapolis
Oakmont Plan in Grant's Corner by Olthof Homes,,,,Year Built: 2023,No Info,"$374,100+",Indianapolis
2139 N  Drexel Ave,,,,Year Built: 1940,None,"$115,000",Indianapolis
312 W  Morris St,,,,,No Info,"$520,000",Indianapolis
3011 N  New Jersey St,,,,Year Built: 1910,No Info,"$269,900",Indianapolis
Exclusives 3067 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$405,000+",Indianapolis
2926 E  18th St,,,,Year Built: 1920,No Info,"$209,000",Indianapolis
3913 N  Kenwood Ave,,,,Year Built: 1919,Garage,"$129,000",Indianapolis
523 Fulton St,,,,Year Built: 2023,2 Car Garage,"$849,900",Indianapolis
,,,,,,,Indianapolis
1134 S  Drexel Ave,,,,Year Built: 1948,Garage,"$89,000",Indianapolis
2437 Guilford Ave,,,,,No Info,"$80,000",Indianapolis
355 E  Ohio St #301,,,,Year Built: 2006,2 Car Garage,"$875,000",Indianapolis
4311 Norwaldo Ave,,,,Year Built: 1948,Open Parking,"$299,999",Indianapolis
Rosemont Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indianapolis,,,,Year Built: 2023,No Info,"$286,000+",Indianapolis
4328 E  Michigan St,,,,Year Built: 1922,None,"$97,900",Indianapolis
340 Sierra Ct,,,,Year Built: 1973,2 Car Garage,"$199,000",Indianapolis
8949 Faulkner Dr,,,,Year Built: 2021,2 Car Garage,"$394,998",Indianapolis
2605 N  Harding St,,,,Year Built: 1920,No Info,"$125,000",Indianapolis
2945 Pointe Bay Road #76,,,,Year Built: 2021,4 Car Garage,"$300,000",Indianapolis
6417 Meridian Woods Blvd,,,,Year Built: 1968,2 Car Garage,"$375,000",Indianapolis
,,,,,,,Indianapolis
1636 N  Rural St,,,,Year Built: 1900,No Info,"$165,000",Indianapolis
1036 Reserve Way,,,,Year Built: 2005,2 Car Garage,"$375,000",Indianapolis
12417 Teacup Way,,,,Year Built: 2008,2 Car Garage,"$320,000",Indianapolis
,,,,,,,Indianapolis
638 W  30th St,,,,Year Built: 1920,No Info,"$144,500",Indianapolis
9235 Crystal River Dr,,,,Year Built: 2014,2 Car Garage,"$559,500",Indianapolis
857 Indigo Way #857D,,,,Year Built: 1973,Carport,"$130,000",Indianapolis
909 Junction Pl,,,,Year Built: 2005,2 Car Garage,"$335,000",Indianapolis
,,,,,,,Indianapolis
318 Terrace Ave,,,,Year Built: 1890,Garage,"$368,900",Indianapolis
8235 Camby Rd,,,,Year Built: 2023,3 Car Garage,"$440,000",Indianapolis
315 N  Grant Ave,,,,Year Built: 1918,Garage,"$184,000",Indianapolis
1634 E  Minnesota St,,,,Year Built: 1917,Garage,"$450,000",Indianapolis
2826 E  19th St,,,,Year Built: 1926,No Info,"$179,900",Indianapolis
6509 E  46th St,,,,Year Built: 1959,No Info,"$160,000",Indianapolis
11142 Mossy Rock Ln,,,,,No Info,"$159,900",Indianapolis
1825 Livery Way,,,,Year Built: 2021,Garage,"$455,000",Indianapolis
5633 Foxglove Ln,,,,Year Built: 1993,2 Car Garage,"$240,000",Indianapolis
230 N  Cleveland St   #D,,,,Year Built: 2003,2 Car Garage,"$422,000",Indianapolis
Legacy 3040 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$392,000+",Indianapolis
7955 Oaklandon Rd,,,,Year Built: 1997,3 Car Garage,"$1,125,000",Indianapolis
,,,,,,,Indianapolis
8500 N  Meridian St,,,,Year Built: 1946,No Info,"$469,900",Indianapolis
3770 N  Richardt Ave,,,,Year Built: 1961,Garage,"$135,000",Indianapolis
403 N  Gibson Ave,,,,Year Built: 1936,Garage,"$129,000",Indianapolis
7911 E  Souter Dr,,,,Year Built: 1959,1 Car Garage,"$149,000",Indianapolis
631 N  Tacoma Ave,,,,Year Built: 1890,Garage,"$360,000",Indianapolis
7008 E  46th St,,,,Year Built: 1960,Garage,"$109,000",Indianapolis
